"","Correlation","Protein"
"GNG7",0.426866634413804,"GNG7"
"IKZF1",0.487223876146824,"IKZF1"
"DMAC2L",0.202106456507959,"DMAC2L"
"CTSF",0.303571428571428,"CTSF"
"ANXA4",0.717988710580919,"ANXA4"
"SUPT16H",0.581174222169179,"SUPT16H"
"SEZ6",0.246558704453441,"SEZ6"
"AMOTL2",0.279953917050691,"AMOTL2"
"MOCS2",0.271197707854515,"MOCS2"
"GOLGA3",0.382442631212572,"GOLGA3"
"MBOAT7",0.63384161437054,"MBOAT7"
"DBT",0.452460029119095,"DBT"
"INF2",0.774651452007701,"INF2"
"TOP2B",0.59715614561876,"TOP2B"
"PDIA3",0.735850785535353,"PDIA3"
"SYNPO",0.524805718923366,"SYNPO"
"MNAT1",-0.0566415893635342,"MNAT1"
"MYOF",0.80894823289563,"MYOF"
"SRRM1",0.497834680387137,"SRRM1"
"SH3PXD2A",0.311378353376503,"SH3PXD2A"
"SEL1L",0.286204551815293,"SEL1L"
"KANK1",0.179671200899936,"KANK1"
"CPE",0.558125234345707,"CPE"
"EVL",0.430935547824786,"EVL"
"SCAMP2",0.550278079184673,"SCAMP2"
"PKP3",0.792682403573834,"PKP3"
"GBF1",0.313104980163054,"GBF1"
"UBR5",0.386030358407795,"UBR5"
"POLE3",0.322870915348419,"POLE3"
"BRD4",0.401003924667308,"BRD4"
"SGPL1",0.455565347509834,"SGPL1"
"DSG2",0.767703596847533,"DSG2"
"STRAP",0.317600328014998,"STRAP"
"TRMT6",0.368396179420606,"TRMT6"
"PDIA6",0.696263658152706,"PDIA6"
"PPP1R13L",0.563489188900684,"PPP1R13L"
"TMF1",0.395660799911843,"TMF1"
"OGT",0.148535565377052,"OGT"
"MCCC2",0.616908961538298,"MCCC2"
"TNC",0.50953526235612,"TNC"
"AKAP12",0.497873923454958,"AKAP12"
"GLE1",0.0963927761785142,"GLE1"
"PRKAR2B",0.626571779045542,"PRKAR2B"
"SMC1A",0.446435423713168,"SMC1A"
"NUP107",0.0516852863944412,"NUP107"
"DNAJC7",0.42148796574261,"DNAJC7"
"PYCR3",0.491706521793256,"PYCR3"
"BYSL",0.373524862574338,"BYSL"
"TSC22D4",0.527897733228455,"TSC22D4"
"TRUB2",0.102296595563093,"TRUB2"
"CCDC71L",0.410628363668512,"CCDC71L"
"DCUN1D1",0.359181841200011,"DCUN1D1"
"PDIA4",0.770104692401446,"PDIA4"
"NUCB2",0.708029010765218,"NUCB2"
"MECP2",0.388623564067842,"MECP2"
"LSR",0.761349490072585,"LSR"
"DYNC1H1",0.351128744546435,"DYNC1H1"
"FAM177A1",0.550776831088264,"FAM177A1"
"RREB1",0.251416006228769,"RREB1"
"BCL2L13",0.524482426046238,"BCL2L13"
"STAU2",0.523811436395542,"STAU2"
"APOE",0.137997094811668,"APOE"
"ASRGL1",0.713119442334331,"ASRGL1"
"YRDC",0.284143691244566,"YRDC"
"HNRNPC",0.234698941570346,"HNRNPC"
"PCP4",0.544050766790058,"PCP4"
"UBA1",0.47898407172875,"UBA1"
"NOC2L",0.233541811383811,"NOC2L"
"ZC3H11A",0.421256748960794,"ZC3H11A"
"EDC3",0.420098814376863,"EDC3"
"ADH5",0.34080837525151,"ADH5"
"ETFA",0.359979042069415,"ETFA"
"ETS1",0.502077922077922,"ETS1"
"HLA-DRB5",0.544615384615385,"HLA-DRB5"
"HLA-DRB1",0.698981243160766,"HLA-DRB1"
"DLST",0.485325558157927,"DLST"
"RNF20",0.122788153504394,"RNF20"
"HSPD1",0.542313724708233,"HSPD1"
"TBCC",0.459881185645506,"TBCC"
"PSMD1",0.102607720068256,"PSMD1"
"ILVBL",0.576194676031104,"ILVBL"
"HAUS7",-0.0091322073383809,"HAUS7"
"EWSR1",0.485903045503121,"EWSR1"
"EPHX2",0.56037206037206,"EPHX2"
"COL6A2",0.744143534190927,"COL6A2"
"MKI67",0.447911362683216,"MKI67"
